Date/Time,Open,High,Low,Close,Volume,Open Interest
2019-10-11,48.4,48.57,48.14,48.23,794420,0
2019-10-12,,,,,0,0
2019-10-13,,,,,0,0
2019-10-14,48.66,49.68,48.48,49.25,2231030,0
2019-10-15,49.34,49.34,49.0,49.0,663910,0
2019-10-16,49.34,49.51,49.0,49.08,829050,0
2019-10-17,49.0,49.08,48.31,48.4,1621590,0
2019-10-18,48.48,49.17,48.31,48.74,1447340,0
2019-10-19,,,,,0,0
2019-10-20,,,,,0,0
2019-10-21,49.0,49.0,48.06,48.23,1260490,0
2019-10-22,48.23,48.31,47.55,48.06,1534380,0
2019-10-23,47.97,48.66,47.89,48.14,747810,0
2019-10-24,48.48,49.68,48.14,49.68,2233890,0
2019-10-25,49.76,49.94,49.25,49.51,1355310,0
2019-10-26,,,,,0,0
2019-10-27,,,,,0,0
2019-10-28,49.51,50.19,49.34,49.59,1494820,0
2019-10-29,49.68,49.76,49.34,49.42,953020,0
2019-10-30,49.34,49.59,49.17,49.34,1102070,0
2019-10-31,49.51,50.11,49.34,49.42,1263390,0
2019-11-01,49.51,50.11,49.17,49.94,1732950,0
2019-11-02,,,,,0,0
2019-11-03,,,,,0,0
2019-11-04,50.11,51.64,50.11,51.13,5811560,0
2019-11-05,51.22,51.3,50.7,51.05,1239520,0
2019-11-06,51.05,51.56,50.79,50.79,1551610,0
2019-11-07,50.79,51.13,50.53,50.79,1438030,0
2019-11-08,51.05,51.05,50.53,50.87,1219540,0
2019-11-09,,,,,0,0
2019-11-10,,,,,0,0
2019-11-11,51.05,51.73,50.79,51.22,2180490,0
2019-11-12,51.22,52.33,51.22,52.07,2842650,0
2019-11-13,52.24,52.33,51.64,51.64,1333940,0
2019-11-14,51.64,52.07,49.08,49.76,4799390,0
2019-11-15,49.76,50.19,49.25,50.02,2568040,0
2019-11-16,,,,,0,0
2019-11-17,,,,,0,0
2019-11-18,49.85,50.19,48.74,49.08,2794920,0
2019-11-19,49.17,49.76,49.08,49.76,1059770,0
2019-11-20,49.68,49.68,48.31,48.48,2291760,0
2019-11-21,48.48,48.74,47.72,47.8,3303950,0
2019-11-22,48.06,48.74,47.37,47.8,1625820,0
2019-11-23,,,,,0,0
2019-11-24,,,,,0,0
2019-11-25,47.89,48.66,47.63,48.31,1087990,0
2019-11-26,48.66,48.83,48.48,48.74,968690,0
2019-11-27,48.83,49.0,48.57,48.66,812280,0
2019-11-28,48.57,48.57,47.63,47.8,1370820,0
2019-11-29,47.8,48.48,47.63,48.14,739370,0
2019-11-30,,,,,0,0
2019-12-01,,,,,0,0
2019-12-02,48.23,48.23,46.61,46.61,1992380,0
2019-12-03,46.27,47.12,45.5,46.52,1619120,0
2019-12-04,46.52,47.37,46.09,47.29,932130,0
2019-12-05,47.37,47.63,46.78,46.86,1144000,0
2019-12-06,46.95,47.29,46.69,46.95,556160,0
2019-12-07,,,,,0,0
2019-12-08,,,,,0,0
2019-12-09,47.12,47.63,46.95,47.2,700960,0
2019-12-10,47.2,47.63,46.78,47.37,797100,0
2019-12-11,47.37,48.31,47.12,48.23,877960,0
2019-12-12,48.48,48.83,48.4,48.66,942410,0
2019-12-13,48.83,49.08,48.57,48.74,1681700,0
2019-12-14,,,,,0,0
2019-12-15,,,,,0,0
2019-12-16,48.74,48.74,48.14,48.23,968130,0
2019-12-17,47.97,48.14,47.03,47.29,2211360,0
2019-12-18,47.29,47.8,46.95,47.37,1022490,0
2019-12-19,47.37,47.97,47.29,47.63,817820,0
2019-12-20,47.8,48.4,47.63,48.23,777100,0
2019-12-21,,,,,0,0
2019-12-22,,,,,0,0
2019-12-23,48.57,48.66,47.8,47.89,766000,0
2019-12-24,48.06,48.23,47.89,48.14,692100,0
2019-12-25,48.14,49.42,48.14,49.08,1604350,0
2019-12-26,49.34,49.59,49.0,49.0,1124500,0
2019-12-27,49.0,49.34,48.48,49.17,1004860,0
2019-12-28,,,,,0,0
2019-12-29,,,,,0,0
2019-12-30,49.34,50.28,49.17,50.02,2881060,0
2019-12-31,50.02,50.11,49.51,49.76,689030,0
2020-01-01,,,,,0,0
2020-01-02,49.76,50.36,49.51,50.02,896720,0
2020-01-03,50.28,50.45,49.0,49.17,2047880,0
2020-01-04,,,,,0,0
2020-01-05,,,,,0,0
2020-01-06,48.74,49.17,48.48,48.66,1091660,0
2020-01-07,48.91,49.59,48.66,49.59,837240,0
2020-01-08,49.08,49.25,48.48,48.48,1814290,0
2020-01-09,48.91,49.25,48.74,49.17,967050,0
2020-01-10,49.08,49.34,48.74,49.08,1018650,0
2020-01-11,,,,,0,0
2020-01-12,,,,,0,0
2020-01-13,49.0,49.17,48.66,48.74,786760,0
2020-01-14,48.74,49.0,48.66,48.66,721680,0
2020-01-15,48.66,48.74,48.48,48.66,940870,0
2020-01-16,48.66,49.68,48.66,49.51,1942970,0
2020-01-17,49.51,49.59,48.66,49.17,1388810,0
2020-01-18,,,,,0,0
2020-01-19,,,,,0,0
2020-01-20,49.08,49.51,48.83,49.0,1227100,0
2020-01-21,49.34,49.51,47.37,47.37,4351820,0
2020-01-22,46.95,48.23,46.69,48.23,3165650,0
2020-01-23,,,,,0,0
2020-01-24,,,,,0,0
2020-01-25,,,,,0,0
2020-01-26,,,,,0,0
2020-01-27,,,,,0,0
2020-01-28,,,,,0,0
2020-01-29,,,,,0,0
2020-01-30,47.2,47.63,46.01,46.69,2638460,0
2020-01-31,46.09,46.86,44.39,44.39,4118150,0
2020-02-01,,,,,0,0
2020-02-02,,,,,0,0
2020-02-03,42.34,44.81,41.83,43.96,3602970,0
2020-02-04,44.64,44.73,43.53,44.22,1651440,0
2020-02-05,44.64,45.07,44.39,44.39,1648620,0
2020-02-06,44.81,45.75,44.22,45.75,1708550,0
2020-02-07,45.41,45.67,45.07,45.5,1218660,0
2020-02-08,,,,,0,0
2020-02-09,,,,,0,0
2020-02-10,44.73,45.24,44.47,44.9,738090,0
2020-02-11,45.16,45.84,44.98,45.75,1085380,0
2020-02-12,45.92,46.69,45.84,46.18,1104870,0
2020-02-13,46.18,46.44,45.84,46.35,1030570,0
2020-02-14,46.18,46.52,46.09,46.52,884240,0
2020-02-15,,,,,0,0
2020-02-16,,,,,0,0
2020-02-17,46.61,46.61,46.09,46.27,726390,0
2020-02-18,46.44,47.8,46.35,47.8,1760940,0
2020-02-19,47.72,47.97,47.37,47.55,681250,0
2020-02-20,47.89,48.14,47.37,47.63,780810,0
2020-02-21,47.72,47.72,46.69,46.69,1458040,0
2020-02-22,,,,,0,0
2020-02-23,,,,,0,0
2020-02-24,45.33,46.01,44.81,44.81,2261990,0
2020-02-25,44.47,46.09,44.39,46.09,1407720,0
2020-02-26,45.58,47.12,45.24,46.95,3221270,0
2020-02-27,46.95,48.23,46.61,47.8,2927040,0
2020-02-28,46.95,47.55,46.61,47.03,2132200,0
2020-02-29,,,,,0,0
2020-03-01,,,,,0,0
2020-03-02,47.03,47.97,46.78,47.55,1787060,0
2020-03-03,47.97,48.57,47.55,47.72,1193800,0
2020-03-04,47.37,47.37,46.86,47.37,1660790,0
2020-03-05,47.37,47.72,46.61,46.61,1296450,0
2020-03-06,46.27,46.35,45.67,46.09,1305030,0
2020-03-07,,,,,0,0
2020-03-08,,,,,0,0
2020-03-09,43.7,44.39,42.94,42.94,4735140,0
2020-03-10,43.53,44.39,42.94,44.13,2030340,0
2020-03-11,44.39,44.81,42.25,43.36,2753310,0
2020-03-12,41.48,42.08,40.38,41.06,3981670,0
2020-03-13,38.67,42.68,38.58,41.1,2919140,0
2020-03-14,,,,,0,0
2020-03-15,,,,,0,0
2020-03-16,41.1,42.42,40.55,40.63,1898960,0
2020-03-17,40.12,41.4,39.69,41.4,2474650,0
2020-03-18,41.83,41.91,41.27,41.31,1642800,0
2020-03-19,40.63,41.06,40.63,40.72,1296590,0
2020-03-20,41.14,41.19,40.42,40.72,1291360,0
2020-03-21,,,,,0,0
2020-03-22,,,,,0,0
2020-03-23,39.35,39.82,37.9,37.9,2826690,0
2020-03-24,38.41,38.41,37.13,37.99,2191500,0
2020-03-25,39.27,39.61,38.54,39.27,2131790,0
2020-03-26,38.84,39.14,37.73,37.73,2358310,0
2020-03-27,37.9,37.9,36.62,36.79,2633750,0
2020-03-28,,,,,0,0
2020-03-29,,,,,0,0
2020-03-30,34.57,35.08,34.23,34.49,2157690,0
2020-03-31,35.51,36.19,34.23,35.08,1663050,0
2020-04-01,34.83,36.88,34.83,36.11,1453030,0
2020-04-02,,,,,0,0
2020-04-03,36.7,38.11,36.45,38.07,2072000,0
2020-04-04,,,,,0,0
2020-04-05,,,,,0,0
2020-04-06,39.27,40.55,38.84,40.55,2718990,0
2020-04-07,40.55,40.72,39.69,40.38,2463810,0
2020-04-08,39.35,40.16,39.05,39.99,1576670,0
2020-04-09,40.12,40.63,39.69,39.99,2142370,0
2020-04-10,39.78,40.12,39.18,39.61,1882020,0
2020-04-11,,,,,0,0
2020-04-12,,,,,0,0
2020-04-13,39.61,40.12,39.35,39.69,1255360,0
2020-04-14,40.63,42.25,40.12,42.25,4072050,0
2020-04-15,43.11,43.36,42.55,42.77,2205200,0
2020-04-16,42.42,43.36,42.08,42.94,1508480,0
2020-04-17,43.7,43.79,42.85,43.7,2631630,0
2020-04-18,,,,,0,0
2020-04-19,,,,,0,0
2020-04-20,44.3,44.39,43.28,43.79,2239780,0
2020-04-21,43.11,43.45,41.74,42.08,3737050,0
2020-04-22,41.66,43.7,41.57,43.62,2445860,0
2020-04-23,44.47,44.56,43.53,43.53,1363410,0
2020-04-24,43.45,43.7,42.77,43.53,1411380,0
2020-04-25,,,,,0,0
2020-04-26,,,,,0,0
2020-04-27,43.96,43.96,43.11,43.28,1419750,0
2020-04-28,43.28,43.36,42.85,43.28,974310,0
2020-04-29,43.36,43.88,43.11,43.36,1349230,0
2020-04-30,,,,,0,0
2020-05-01,,,,,0,0
2020-05-02,,,,,0,0
2020-05-03,,,,,0,0
2020-05-04,42.85,43.45,42.68,43.11,895530,0
2020-05-05,43.36,43.53,43.02,43.45,677990,0
2020-05-06,43.53,45.33,43.53,45.16,3470150,0
2020-05-07,45.24,45.67,44.73,45.67,2030720,0
2020-05-08,45.75,47.03,45.75,45.84,3585320,0
2020-05-09,,,,,0,0
2020-05-10,,,,,0,0
2020-05-11,46.09,46.44,45.5,46.09,2119430,0
2020-05-12,46.09,46.44,45.75,46.44,2828190,0
2020-05-13,47.5,49.55,47.4,49.35,6853810,0
2020-05-14,48.95,49.1,48.5,48.7,2597400,0
2020-05-15,48.3,48.9,47.75,48.0,2430890,0
2020-05-16,,,,,0,0
2020-05-17,,,,,0,0
2020-05-18,47.5,48.35,47.4,48.35,2000950,0
2020-05-19,49.2,49.6,48.6,49.25,2879030,0
2020-05-20,49.0,49.0,48.55,48.9,1245380,0
2020-05-21,48.9,49.3,48.85,49.3,2007060,0
2020-05-22,49.0,49.0,48.45,48.45,1731720,0
2020-05-23,,,,,0,0
2020-05-24,,,,,0,0
2020-05-25,48.45,48.6,47.8,48.45,2033000,0
2020-05-26,48.5,48.8,48.35,48.8,1615680,0
2020-05-27,48.9,49.4,48.0,48.0,2098580,0
2020-05-28,48.2,48.6,48.0,48.0,1194380,0
2020-05-29,48.0,48.1,47.5,47.95,1346170,0
2020-05-30,,,,,0,0
2020-05-31,,,,,0,0
2020-06-01,48.0,48.35,48.0,48.3,1298150,0
2020-06-02,48.3,48.4,48.0,48.0,1456730,0
2020-06-03,48.0,48.95,47.9,48.65,1893060,0
2020-06-04,48.9,48.9,48.4,48.4,1260060,0
2020-06-05,48.4,48.7,48.15,48.7,1236200,0
2020-06-06,,,,,0,0
2020-06-07,,,,,0,0
2020-06-08,49.0,50.0,49.0,49.35,4113250,0
2020-06-09,49.6,49.6,48.9,48.95,1491540,0
2020-06-10,49.0,49.0,48.45,48.8,1307540,0
2020-06-11,48.8,48.8,46.0,46.0,4278060,0
2020-06-12,45.0,47.0,45.0,47.0,3145450,0
2020-06-13,,,,,0,0
2020-06-14,,,,,0,0
2020-06-15,48.0,48.0,45.9,46.0,1207500,0
2020-06-16,46.6,46.8,46.3,46.6,1100730,0
2020-06-17,46.7,46.75,46.25,46.35,788630,0
2020-06-18,46.3,46.7,46.15,46.6,822980,0
2020-06-19,46.6,47.0,46.6,46.95,677340,0
2020-06-20,,,,,0,0
2020-06-21,,,,,0,0
2020-06-22,47.0,47.0,46.85,47.0,787180,0
2020-06-23,46.95,48.4,46.75,47.55,1693730,0
2020-06-24,47.9,47.95,47.05,47.2,607000,0
2020-06-25,46.65,47.1,46.6,46.8,730810,0
